"ÍSAT2008","ÍSAT2008_áp","Bálkur","Lýsing","Inniheldur","Inniheldur_einnig","Inniheldur_ekki"
"01.11.0","01110","A","Kornrækt (að undanskildum hrísgrjónum), ræktun belgjurta og olíufræja","Til þessarar greinar teljast allar tegundir kornræktar, ræktun belgjurta og olíufræja á opnum ökrum.   Til þessarar greinar telst: - Kornrækt, s.s. ræktun á hveiti, maískorni, dúrru, byggi, rúgi, höfrum, hirsi og öðrum korntegundum, ót.a. - Ræktun bel",,"Til þessarar greinar telst ekki: - Hrísgrjónarækt, sjá 01.12 - Sykurmaísrækt, sjá 01.13.9 - Ræktun fóðurmaíss, sjá 01.19.9 - Ræktun olíuríkra aldina, sjá 01.26"
"01.12.0","01120","A","Hrísgrjónarækt",,,
"01.13.1","01131","A","Ræktun á aldingrænmeti og papriku","Til þessarar greinar telst: - Ræktun á aldingrænmeti, s.s. gúrkum, eggaldinum, tómötum, melónum og öðru aldingrænmeti - Ræktun á paprikum",,"Til þessarar greinar telst ekki: - Ræktun piparávaxta, eldpapriku og annarra krydd- og ilmjurta, sjá 01.28"
"01.13.2","01132","A","Ræktun á kartöflum",,,
"01.13.9","01139","A","Ræktun á öðru ótöldu grænmeti, rótum og hnýði","Til þessarar greinar telst: - Ræktun á blað- og stilkgrænmeti, s.s. hvítkáli, blómkáli, spergilkáli, salati, spínati, ætiþistlum, spergli og öðru blað- og stöngulgrænmeti - Ræktun á gulrótum - Ræktun á gulrófum og næpum - Ræktun á sveppum og jarðsvepp",,"Til þessarar greinar telst ekki: - Ræktun sveppagrós, sjá 01.30"
"01.14.0","01140","A","Ræktun sykurreyrs",,,"Til þessarar greinar telst ekki: - Ræktun sykurrófna, sjá 01.13.9"
"01.15.0","01150","A","Tóbaksræktun",,,
"01.16.0","01160","A","Ræktun trefjajurta","Til þessarar greinar telst: - Baðmullarræktun - Ræktun jútu og annarra bastspunatrefja - Hör- og hampræktun - Ræktun sísal og annarra spunatrefja af agavaætt - Ræktun abaca, ramí og annarra spunatrefja úr jurtaríkinu - Ræktun annarra trefjajurta",,
"01.19.1","01191","A","Blómarækt","Til þessarar greinar telst: - Ræktun á blómum - Framleiðsla afskorinna blóma og blómknappa",,
"01.19.9","01199","A","Önnur ótalin ræktun nytjajurta sem ekki eru fjölærar","Til þessarar greinar telst ræktun allra annarra nytjaplantna sem eru ekki fjölærar - Ræktun á fóðurnæpu, beðju, fóðurrófum, smára, alfalfa, esparsettnum, fóðurmaís og öðru grasi, fóðurkáli og áþekkum fóðurvörum - Ræktun á bókhveiti - Ræktun rófufræja (",,"Til þessarar greinar telst ekki: - Ræktun krydds, ilmjurta og lyfjajurta sem ekki eru fjölærar, sjá 01.28"
