"Starfsemi","ÍSAT2008"
"Afgreiðsluborð, framleiðsla","31010"
"Afgreiðslukassar, framleiðsla","28230"
"Afgreiðslukassar, heildsala","46699"
"Afmengun","39000"
"Afskorin blóm, ræktun","01191"
"Akkeri, framleiðsla","25990"
"Akríl, framleiðsla","20160"
"Akstur fatlaðra","49390"
"Akstur flutningabíla","49419"
"Akstur sendibíla","49411"
"Akúrkur, ræktun","01131"
"Aldingrænmeti, ræktun","01131"
"Alfræðirit, útgáfa","58110"
"Alifuglafóður, framleiðsla","10910"
"Alifuglakjöt, framleiðsla","10120"
"Alifuglakjöt, heildsala","46320"
"Alifuglar, ræktun","01471"
"Alifuglar, slátrun","10120"
"Alkalímálmar, framleiðsla","20130"
"Alkóhóllausir drykkir, framleiðsla","11070"
"Almannatengsl","70210"
"Almannatryggingar","84300"
"Almannavarnir","84240"
"Almenningsbókasöfn","91010"
"Almenningsgarðar","81300"
"Alþingi","84110"
"Alþjóðastarfsemi","99000"
"Alþjóðastofnanir","99000"
"Ammóníak, framleiðsla","20150"
"Andlitsfarði, framleiðsla","20420"
"Andófshreyfingar","94999"
"Anilín, heildsala","46750"
"Apótek","47730"
"Appelsínur, ræktun","01230"
"Appelsínusafi, framleiðsla","11070"
"Appelsínusafi, hreinn, framleiðsla","10320"
"Argon, framleiðsla","20110"
"Arinn, smásala","47789"
"Arkitektar, starfsemi","71110"
"Asbest, fjarlæging","39000"
"Asbest, nám","08990"
"Asbestþráður, framleiðsla","23990"
"Asnar, eldi","01430"
"Athvarf fyrir atvinnulausa","88990"
"Athvarf fyrir heimilislausa","87900"
"Atvinnuhúsnæði, leiga","68202"
"Atvinnuleysistryggingar","84300"
"Auglýsingaefni, útgáfa","58190"
"Auglýsingamiðlun","73120"
"Auglýsingamyndataka","74200"
"Auglýsingar, framleiðsla","59110"
"Auglýsingar, hönnun","73110"
"Auglýsingastofur","73110"
"Augnlæknar","86220"
"Aukahlutir í bíla, framleiðsla","29320"
"Axlabönd, heildverslun, heildsala","46420"
"Áburðadreyfarar, framleiðsla","28300"
"Áburðadreyfarar, heildsala","46610"
"Áburður, tilbúinn, framleiðsla","20150"
"Áburður, tilbúinn, heildsala","46750"
"Áfangaheimili","87900"
"Áfangaheimili fyrir geðsjúka","87200"
"Áfangastaðir fyrir áfengissjúklinga","87200"
"Áfangastaðir fyrir fíkniefnaneytendur","87200"
"Áfengi, framleiðsla","11010"
"Áfengi, heildsala","46340"
"Áfengi, smásala","47250"
"Áfengi, umboðsverslun","46179"
"Áfengir drykkir, framleiðsla","11010"
"Áfengismeðferð án dvalar á stofnun","88990"
"Áfengismeðferð án læknisþjónustu","87200"
"Áfengismeðferð með læknisþjónustu","86100"
"Áhaldaleiga","77390"
"Áhættu og tjónamat","66210"
"Áhættufjárfestingarfélög","64990"
"Áhættusjóðir","64300"
"Áhöld og tæki fyrir sjúkrahús, heildsala","46460"
"Ál (báxít), nám","07290"
"Ál til málmsmíða, heildsala","46720"
"Ál, framleiðsla","24420"
"Álblöndur, framleiðsla","24420"
"Álegg, framleiðsla","10130"
"Álmelmi, framleiðsla","24420"
"Álpappír, framleiðsla","24420"
"Álplötur, framleiðsla","24420"
"Álsement, framleiðsla","23510"
"Álvír, framleiðsla","24420"
"Ámokstursvélar, framleiðsla","28920"
"Árabátar, smíði","30120"
"Ásláttarhljóðfæri, framleiðsla","32200"
"Átthagafélög","94999"
"Átöppun, eigin framleiðsla","11070"
"Ávaxta- og grænmetisverslanir","47210"
"Ávaxtadrykkir, framleiðsla","11070"
"Ávaxtadrykkir, heildsala","46340"
"Ávaxtadrykkir, sykraðir, framleiðsla","11070"
"Ávaxtasafi, heildsala","46340"
"Ávaxtasafi, hreinn, framleiðsla","10320"
"Ávaxtasaft, framleiðsla","11070"
"Ávaxtavín, framleiðsla","11030"
"Ávaxtavín, heildsala","46340"
"Ávaxtaþykkni, framleiðsla","10320"
