"ÍSAT95","Ísat_heiti","ÍSAT2008","ÍSAT2008_heiti"
"25210","Framleiðsla á plötum, rörum o.þ.h. úr plastefnum","33200","Uppsetning á vélum og búnaði til nota í atvinnuskyni"
"33300","Framleiðsla og viðhald á stjórnbúnaði fyrir iðnaðarframleiðslu","33200","Uppsetning á vélum og búnaði til nota í atvinnuskyni"
"50200","Bílaviðgerðir og viðhald; hjólbarðaviðgerðir","45204","Bón- og þvottastöðvar"
"50200","Bílaviðgerðir og viðhald; hjólbarðaviðgerðir","45203","Dekkjaverkstæði og smurstöðvar"
"50200","Bílaviðgerðir og viðhald; hjólbarðaviðgerðir","45202","Bílaréttingar og -sprautun"
"50200","Bílaviðgerðir og viðhald; hjólbarðaviðgerðir","45201","Almenn bílaverkstæði"
"15220","Hvalvinnsla","10110","Slátrun og vinnsla á kjöti, þó ekki alifuglakjöti"
"29540","Framleiðsla og viðhald véla fyrir textíl-, fata- og leðuriðnað","33120","Viðgerðir á vélbúnaði"
"29550","Framleiðsla og viðhald véla fyrir pappírsiðnað","33120","Viðgerðir á vélbúnaði"
"29560","Framleiðsla og viðhald annarra ótalinna sérhæfðra véla","33120","Viðgerðir á vélbúnaði"
"50101","Bílasala með nýja bíla","45191","Sala á húsbílum og húsvögnum"
"50102","Bílasala með notaða bíla","45191","Sala á húsbílum og húsvögnum"
"51430","Heildverslun með heimilistæki, útvarps- og sjónvarpstæki, lampa, rafmagnstæki o.þ.h.","46470","Heildverslun með húsgögn, teppi og ljósabúnað"
"51473","Heildverslun með úr, sjóntæki og ljósmyndavörur","46430","Heildverslun með heimilistæki, útvörp, sjónvörp og tengdar vörur"
"51390","Heildverslun með önnur matvæli, drykkjarvöru og tóbak","46389","Heildverslun með önnur ótalin matvæli"
"51641","Heildverslun með tölvur, ritvélar o.þ.h.","46660","Heildverslun með aðrar skrifstofuvélar og tæki"
"10300","Mótekja","19200","Framleiðsla á hreinsuðum olíuvörum"
"52462","Málningar- og veggfóðurverslun","47522","Smásala á málningu í sérverslunum"
"70203","Leiga á landi og landréttindum","68203","Leiga á landi og landréttindum"
"01121","Ræktun grænmetis og garðplöntuframleiðsla","01139","Ræktun á öðru ótöldu grænmeti, rótum og hnýði"
"85115","Áfengismeðferð","87200","Dvalarheimili á sviði þroskahömlunar, geðheilbrigðis og vímuefnamisnotkunar"
"85113","Endurhæfing","87100","Dvalarheimili með hjúkrun"
"93020","Hárgreiðslu- og snyrtistofur","96021","Hársnyrtistofur"
"15220","Hvalvinnsla","10410","Framleiðsla á olíu og feiti"
"92400","Starfsemi sjálfstæðra fréttastofa","74200","Ljósmyndaþjónusta"
"51659","Heildverslun með annan ótalinn búnað og vélar til nota í iðnaði, verslun, siglingum og flugi","46520","Heildverslun með rafeinda- og fjarskiptabúnað og tengda hluti"
"02010","Skógrækt og skógarhögg","02109","Skógrækt og önnur ótalin starfsemi tengd henni"
"85314","Heimili fyrir fatlaða","87200","Dvalarheimili á sviði þroskahömlunar, geðheilbrigðis og vímuefnamisnotkunar"
"85322","Leikskólar og önnur dagvistun barna","85100","Fræðslustarfsemi á leikskólastigi"
"85328","Líknarfélög og annað hjálparstarf félagssamtaka","94999","Starfsemi annarra ótalinna félagasamtaka"
"29140","Framleiðsla og viðgerðir á legum, tannhjólum, drifum og drifbúnaði","33120","Viðgerðir á vélbúnaði"
"29210","Framleiðsla og viðhald á bræðsluofnum og brennurum","43220","Pípulagnir, uppsetning hitunar- og loftræstikerfa"
"29310","Dráttarvélasmíði og viðhald","28300","Framleiðsla á vélum til nota í landbúnaði og skógrækt"
"29400","Framleiðsla smíðavéla og viðhald","33120","Viðgerðir á vélbúnaði"
"29510","Framleiðsla og viðhald véla til málmvinnslu","33120","Viðgerðir á vélbúnaði"
"29520","Framleiðsla og viðhald véla til námuvinnslu, sementsframleiðslu, mannvirkjagerðar o.fl.","33120","Viðgerðir á vélbúnaði"
"29531","Framleiðsla og viðhald vélvirkra véla fyrir fiskiðnað og annan matvælaiðnað","33120","Viðgerðir á vélbúnaði"
"29532","Framleiðsla og viðhald tölvustýrðra véla fyrir fiskiðnað og annan matvælaiðnað","33120","Viðgerðir á vélbúnaði"
"29539","Framleiðsla og viðhald véla fyrir drykkjarvöru- og tóbaksiðnað","33120","Viðgerðir á vélbúnaði"
"80421","Öldungadeildir framhaldsskóla","85310","Fræðslustarfsemi á framhaldsskólastigi - bóknám"
"74409","Önnur auglýsingastarfsemi","73110","Auglýsingastofur"
"01240","Alifuglarækt","01472","Eggjaframleiðsla"
"01259","Önnur ótalin búfjárrækt","01492","Æðarrækt og æðardúnstekja"
"01251","Blönduð búfjárrækt","01420","Önnur nautgriparækt"
"01251","Blönduð búfjárrækt","01430","Hrossarækt og ræktun annarra dýra af hrossaætt"
"01251","Blönduð búfjárrækt","01450","Sauðfjár- og geitarækt"
"01251","Blönduð búfjárrækt","01460","Svínarækt"
"01251","Blönduð búfjárrækt","01471","Alifuglarækt"
"01251","Blönduð búfjárrækt","01472","Eggjaframleiðsla"
"93040","Heilsuræktarstarfsemi, sólbaðstofur o.þ.h.","85510","Íþrótta- og tómstundakennsla"
"80429","Önnur fullorðinsfræðsla og ótalin fræðsla","85590","Önnur ótalin fræðslustarfsemi"
"52459","Smásala á heimilistækjum, útvarps- og sjónvarpstækjum","47540","Smásala á heimilistækjum í sérverslunum"
"52461","Byggingar- og járnvöruverslun","47521","Smásala á járn- og byggingarvöru í sérverslunum"
"74206","Einkaleyfisskrifstofur","69100","Lögfræðiþjónusta"
"74149","Rekstrarráðgjöf, þó ekki í landbúnaði","85600","Þjónusta við fræðslustarfsemi"
"74141","Landbúnaðarráðunautar","02400","Þjónustustarfsemi við skógrækt"
"74149","Rekstrarráðgjöf, þó ekki í landbúnaði","02400","Þjónustustarfsemi við skógrækt"
"74141","Landbúnaðarráðunautar","74900","Önnur ótalin sérfræðileg, vísindaleg og tæknileg starfsemi"
"74149","Rekstrarráðgjöf, þó ekki í landbúnaði","74900","Önnur ótalin sérfræðileg, vísindaleg og tæknileg starfsemi"
"01111","Kornrækt, grasrækt og önnur ræktun, þó ekki kartöflurækt","01110","Kornrækt (að undanskildum hrísgrjónum), ræktun belgjurta og olíufræja"
"01111","Kornrækt, grasrækt og önnur ræktun, þó ekki kartöflurækt","01640","Vinnsla fræja fyrir sáningu"
"01111","Kornrækt, grasrækt og önnur ræktun, þó ekki kartöflurækt","01630","Starfsemi að lokinni uppskeru"
"01111","Kornrækt, grasrækt og önnur ræktun, þó ekki kartöflurækt","01290","Ræktun annarra fjölærra nytjajurta"
"01111","Kornrækt, grasrækt og önnur ræktun, þó ekki kartöflurækt","01280","Ræktun krydd- , ilm- og lyfjajurta"
"01111","Kornrækt, grasrækt og önnur ræktun, þó ekki kartöflurækt","01199","Önnur ótalin ræktun nytjajurta sem ekki eru fjölærar"
"01111","Kornrækt, grasrækt og önnur ræktun, þó ekki kartöflurækt","01160","Ræktun trefjajurta"
